Chromosome,Source,Feature,Start,End,Score,Strand,Frame,TranscriptID
2_RagTag,AUGUSTUS,gene,339707698,339711314,0.03,+,.,g15611
2_RagTag,AUGUSTUS,gene,43798341,43799329,0.37,+,.,g9241
1_RagTag,AUGUSTUS,gene,1624072,1633334,0.04,+,.,g56
1_RagTag,AUGUSTUS,gene,115659217,115660313,0.04,+,.,g3349
2_RagTag,GeneMark.hmm3,gene,166318263,166318632,.,+,.,gene_id file_2_15225_g; transcript_id file_2_15225_t;
1_RagTag,AUGUSTUS,gene,6148227,6176829,0.01,-,.,g206
3_RagTag,AUGUSTUS,gene,70740618,70790699,0.1,-,.,g20232
2_RagTag,AUGUSTUS,gene,351812879,351813909,0.82,-,.,g15886
3_RagTag,AUGUSTUS,gene,366388278,366388915,0.39,+,.,g27016
1_RagTag,AUGUSTUS,gene,52223305,52225865,0.07,+,.,g1746
3_RagTag,AUGUSTUS,gene,26404582,26438641,0.01,-,.,g19070
3_RagTag,AUGUSTUS,gene,85713997,85714598,0.21,+,.,g20583
3_RagTag,AUGUSTUS,gene,21654127,21654741,0.17,+,.,g18915
1_RagTag,AUGUSTUS,gene,55865259,55882897,0.04,-,.,g1881
1_RagTag,AUGUSTUS,gene,113924964,113964851,0.03,+,.,g3319
2_RagTag,AUGUSTUS,gene,156780614,156792408,0.11,+,.,g11885
2_RagTag,AUGUSTUS,gene,123279349,123290145,0.22,-,.,g11270
1_RagTag,AUGUSTUS,gene,126004259,126005665,0.63,-,.,g3499
3_RagTag,AUGUSTUS,gene,55844169,55851048,0.03,+,.,g19873
2_RagTag,AUGUSTUS,gene,430053699,430071492,0.01,+,.,g17824
1_RagTag,GeneMark.hmm3,gene,148356103,148368877,.,-,.,gene_id file_2_5052_g; transcript_id file_2_5052_t;
1_RagTag,AUGUSTUS,gene,11110981,11165357,0.17,-,.,g372
2_RagTag,AUGUSTUS,gene,234079443,234079869,0.55,-,.,g13384
2_RagTag,AUGUSTUS,gene,326775470,326804773,0.77,-,.,g15296
3_RagTag,AUGUSTUS,gene,179500018,179514002,0.13,+,.,g22701
3_RagTag,AUGUSTUS,gene,28741227,28798450,0.07,-,.,g19143
1_RagTag,AUGUSTUS,gene,187954731,187955753,0.37,+,.,g4625
3_RagTag,AUGUSTUS,gene,81719943,81796137,0.01,+,.,g20497
2_RagTag,AUGUSTUS,gene,223106386,223107906,0.72,+,.,g13161
3_RagTag,AUGUSTUS,gene,351304389,351325773,0.16,-,.,g26557
3_RagTag,AUGUSTUS,gene,306562855,306564522,0.85,-,.,g25480
1_RagTag,AUGUSTUS,gene,144687,146003,0.21,+,.,g2
1_RagTag,AUGUSTUS,gene,227866116,227899411,0.01,+,.,g5772
2_RagTag,AUGUSTUS,gene,258401104,258425414,0.07,+,.,g13842
2_RagTag,AUGUSTUS,gene,341688295,341689260,0.43,+,.,g15648
1_RagTag,AUGUSTUS,gene,39353970,39356306,0.24,-,.,g1358
1_RagTag,AUGUSTUS,gene,300301139,300307556,0.02,+,.,g7584
3_RagTag,GeneMark.hmm3,gene,202769278,202778186,.,-,.,gene_id file_2_29079_g; transcript_id file_2_29079_t;
2_RagTag,AUGUSTUS,gene,111452827,111492964,0.02,+,.,g11044
2_RagTag,AUGUSTUS,gene,183338426,183340828,0.11,-,.,g12450
1_RagTag,AUGUSTUS,gene,17015504,17053544,0.01,+,.,g601
1_RagTag,AUGUSTUS,gene,141654341,141664772,0.14,-,.,g3814
2_RagTag,AUGUSTUS,gene,391719235,391721615,0.76,-,.,g16805
1_RagTag,AUGUSTUS,gene,14789599,14790263,0.23,+,.,g494
1_RagTag,AUGUSTUS,gene,119919625,119922027,0.1,+,.,g3412
3_RagTag,AUGUSTUS,gene,72046935,72047619,0.92,-,.,g20257
1_RagTag,AUGUSTUS,gene,224379737,224390503,0.3,+,.,g5628
2_RagTag,AUGUSTUS,gene,343282024,343284418,0.79,+,.,g15686
3_RagTag,AUGUSTUS,gene,52007606,52015690,0.22,+,.,g19763
1_RagTag,AUGUSTUS,gene,9282983,9285704,0.14,-,.,g293
2_RagTag,AUGUSTUS,gene,417325109,417326836,0.68,+,.,g17466
ptg000281l,AUGUSTUS,gene,2442403,2451880,0.68,+,.,g27541
3_RagTag,AUGUSTUS,gene,79369442,79370477,0.91,+,.,g20432
3_RagTag,AUGUSTUS,gene,372219503,372229836,0.19,+,.,g27178
3_RagTag,AUGUSTUS,gene,316648041,316663607,0.06,-,.,g25713
2_RagTag,AUGUSTUS,gene,423216124,423216657,0.95,-,.,g17627
3_RagTag,AUGUSTUS,gene,36108967,36123177,0.08,+,.,g19359
2_RagTag,AUGUSTUS,gene,233040269,233046493,0.37,-,.,g13363
ptg000767l,AUGUSTUS,gene,1517,2760,0.09,+,.,g28004
2_RagTag,AUGUSTUS,gene,300634037,300635227,0.02,+,.,g14662
3_RagTag,AUGUSTUS,gene,136266669,136279716,0.03,-,.,g21786
2_RagTag,AUGUSTUS,gene,246916191,246921637,0.3,+,.,g13626
1_RagTag,AUGUSTUS,gene,273975857,273976909,0.53,+,.,g6801
1_RagTag,AUGUSTUS,gene,14712351,14714234,0.87,+,.,g486
2_RagTag,AUGUSTUS,gene,113921067,113921413,0.43,-,.,g11096
3_RagTag,AUGUSTUS,gene,168857034,168869424,0.14,-,.,g22454
3_RagTag,AUGUSTUS,gene,100938451,100976020,0.01,+,.,g20981
1_RagTag,AUGUSTUS,gene,273102700,273113458,0.92,-,.,g6790
1_RagTag,AUGUSTUS,gene,235268720,235269753,0.33,+,.,g6003
ptg000666l,AUGUSTUS,gene,167782,183131,0.25,+,.,g27928
1_RagTag,AUGUSTUS,gene,213974954,213989729,0.01,-,.,g5306
3_RagTag,AUGUSTUS,gene,239196833,239227728,0.1,-,.,g23867
2_RagTag,AUGUSTUS,gene,9074244,9120020,0.01,+,.,g8298
ptg000685l,GeneMark.hmm3,gene,130560,135323,.,+,.,gene_id file_2_34952_g; transcript_id file_2_34952_t;
3_RagTag,AUGUSTUS,gene,230416909,230417381,0.64,+,.,g23717
3_RagTag,AUGUSTUS,gene,12016969,12036218,0.01,-,.,g18598
ptg000121l,AUGUSTUS,gene,386372,387491,0.3,+,.,g27334
3_RagTag,AUGUSTUS,gene,352076617,352091303,0.15,-,.,g26593
1_RagTag,AUGUSTUS,gene,48435876,48448777,0.06,+,.,g1646
2_RagTag,AUGUSTUS,gene,56151173,56152579,0.91,-,.,g9610
3_RagTag,AUGUSTUS,gene,134125410,134129628,0.33,-,.,g21742
2_RagTag,AUGUSTUS,gene,352607565,352608808,0.11,-,.,g15911
3_RagTag,AUGUSTUS,gene,13716694,13717333,0.68,+,.,g18644
2_RagTag,AUGUSTUS,gene,163241349,163241909,0.84,-,.,g12013
ptg000522l,AUGUSTUS,gene,257276,287110,0.17,-,.,g27737
1_RagTag,AUGUSTUS,gene,54781841,54792213,0.09,+,.,g1843
1_RagTag,AUGUSTUS,gene,311791321,311792145,0.35,-,.,g7952
ptg000537l,AUGUSTUS,gene,1,49056,0.04,+,.,g27802
2_RagTag,AUGUSTUS,gene,194463849,194465416,0.16,+,.,g12708
2_RagTag,AUGUSTUS,gene,242416206,242426124,0.37,-,.,g13544
3_RagTag,GeneMark.hmm3,gene,221691423,221691984,.,-,.,gene_id file_2_29503_g; transcript_id file_2_29503_t;
ptg000584l,AUGUSTUS,gene,23877,43541,0.02,-,.,g27820
1_RagTag,AUGUSTUS,gene,117982957,117987321,0.09,-,.,g3390
2_RagTag,AUGUSTUS,gene,385206383,385207924,0.18,-,.,g16606
1_RagTag,GeneMark.hmm3,gene,275825691,275826849,.,+,.,gene_id file_2_8710_g; transcript_id file_2_8710_t;
1_RagTag,AUGUSTUS,gene,250007320,250029930,0.01,+,.,g6290
3_RagTag,GeneMark.hmm3,gene,215053268,215059893,.,-,.,gene_id file_2_29357_g; transcript_id file_2_29357_t;
2_RagTag,AUGUSTUS,gene,24528392,24532492,0.74,+,.,g8711
2_RagTag,AUGUSTUS,gene,106645390,106645828,0.33,-,.,g10913
1_RagTag,AUGUSTUS,gene,296605669,296606250,0.39,+,.,g7432
1_RagTag,AUGUSTUS,gene,29004614,29005730,0.09,+,.,g1055
3_RagTag,AUGUSTUS,gene,272937162,272939088,0.12,-,.,g24619
1_RagTag,AUGUSTUS,gene,288625940,288628146,0.02,-,.,g7201
NIGP01000201_RagTag,AUGUSTUS,gene,14959,15255,0.18,-,.,g27267
1_RagTag,AUGUSTUS,gene,49461746,49532402,0.02,+,.,g1671
3_RagTag,GeneMark.hmm3,gene,232497780,232499850,.,+,.,gene_id file_2_29821_g; transcript_id file_2_29821_t;
3_RagTag,AUGUSTUS,gene,167089631,167091030,0.26,-,.,g22411
3_RagTag,AUGUSTUS,gene,258939346,258940693,0.26,-,.,g24276
2_RagTag,AUGUSTUS,gene,376318739,376324614,0.06,-,.,g16435
1_RagTag,AUGUSTUS,gene,231064850,231073305,0.01,-,.,g5910
1_RagTag,AUGUSTUS,gene,254859652,254888018,0,+,.,g6411
3_RagTag,AUGUSTUS,gene,274819407,274842619,0.5,-,.,g24675
2_RagTag,AUGUSTUS,gene,242241155,242261918,0.57,-,.,g13534
1_RagTag,GeneMark.hmm3,gene,254950706,254951674,.,-,.,gene_id file_2_8161_g; transcript_id file_2_8161_t;
2_RagTag,AUGUSTUS,gene,116168232,116171547,0.27,-,.,g11136
3_RagTag,AUGUSTUS,gene,13756994,13757470,1,+,.,g18648
ptg000482l,AUGUSTUS,gene,138006,154226,0.01,+,.,g27694
3_RagTag,GeneMark.hmm3,gene,273395757,273396199,.,+,.,gene_id file_2_30928_g; transcript_id file_2_30928_t;
2_RagTag,AUGUSTUS,gene,65126803,65144205,0.2,-,.,g9816
1_RagTag,AUGUSTUS,gene,309689427,309691854,0.01,+,.,g7896
ptg000747l,AUGUSTUS,gene,42023,59703,0.06,+,.,g27990
3_RagTag,AUGUSTUS,gene,8821629,8830328,0.55,-,.,g18490
3_RagTag,GeneMark.hmm3,gene,353300573,353305202,.,+,.,gene_id file_2_33411_g; transcript_id file_2_33411_t;
1_RagTag,AUGUSTUS,gene,181586647,181590525,0.01,+,.,g4481
1_RagTag,AUGUSTUS,gene,305656977,305657489,0.2,+,.,g7762
3_RagTag,AUGUSTUS,gene,300452505,300459937,0.13,-,.,g25306
1_RagTag,AUGUSTUS,gene,158559309,158560751,0.28,+,.,g4154
3_RagTag,AUGUSTUS,gene,159262327,159321433,0.03,-,.,g22285
2_RagTag,AUGUSTUS,gene,181070239,181086533,0.35,-,.,g12417
3_RagTag,AUGUSTUS,gene,118476828,118498278,0.11,-,.,g21383
3_RagTag,AUGUSTUS,gene,344141162,344141441,0.37,-,.,g26380
1_RagTag,AUGUSTUS,gene,165366181,165366508,0.38,+,.,g4247
2_RagTag,AUGUSTUS,gene,127500666,127532909,0.55,-,.,g11339
1_RagTag,AUGUSTUS,gene,112152230,112153162,0.12,-,.,g3279
3_RagTag,AUGUSTUS,gene,175410589,175421235,0.48,-,.,g22611
1_RagTag,AUGUSTUS,gene,313036252,313037459,0.3,-,.,g7977
2_RagTag,AUGUSTUS,gene,63016999,63017479,0.58,+,.,g9773
1_RagTag,AUGUSTUS,gene,25584889,25593276,0.59,+,.,g932
1_RagTag,AUGUSTUS,gene,119473583,119477504,0.03,+,.,g3408
1_RagTag,AUGUSTUS,gene,146141605,146148643,0.5,+,.,g3930
3_RagTag,AUGUSTUS,gene,226346388,226347934,0.43,-,.,g23595
2_RagTag,AUGUSTUS,gene,377984243,377998445,0.06,+,.,g16482
2_RagTag,AUGUSTUS,gene,168884889,168892180,0.11,+,.,g12125
1_RagTag,GeneMark.hmm3,gene,131788728,131789288,.,-,.,gene_id file_2_4577_g; transcript_id file_2_4577_t;
2_RagTag,AUGUSTUS,gene,416721138,416723815,0.18,+,.,g17444
ptg000281l,AUGUSTUS,gene,853633,854212,0.95,-,.,g27495
3_RagTag,AUGUSTUS,gene,332708853,332726241,0.35,+,.,g26141
1_RagTag,AUGUSTUS,gene,23768004,23768774,0.28,-,.,g867
3_RagTag,AUGUSTUS,gene,358147994,358148206,0.76,-,.,g26791
2_RagTag,AUGUSTUS,gene,74378883,74379193,0.32,+,.,g10038
2_RagTag,AUGUSTUS,gene,70324358,70329092,0.08,+,.,g9939
2_RagTag,AUGUSTUS,gene,384903809,384914535,0.12,-,.,g16600
2_RagTag,AUGUSTUS,gene,341762060,341788614,0.14,-,.,g15651
3_RagTag,AUGUSTUS,gene,42277927,42284066,0.23,-,.,g19544
1_RagTag,AUGUSTUS,gene,207376469,207426217,0.02,+,.,g5077
2_RagTag,AUGUSTUS,gene,254130498,254135040,0.22,-,.,g13758
1_RagTag,AUGUSTUS,gene,201080502,201089211,0.47,-,.,g4923
2_RagTag,AUGUSTUS,gene,354324276,354343139,0,+,.,g15962
2_RagTag,AUGUSTUS,gene,137096564,137122726,0.06,+,.,g11522
1_RagTag,AUGUSTUS,gene,200363055,200374759,0.03,-,.,g4904
2_RagTag,AUGUSTUS,gene,104233167,104235021,0.09,+,.,g10846
1_RagTag,AUGUSTUS,gene,53745049,53745918,0.91,+,.,g1813
3_RagTag,AUGUSTUS,gene,282938202,282955948,0.06,-,.,g24843
2_RagTag,AUGUSTUS,gene,60322655,60323875,0.92,-,.,g9698
1_RagTag,AUGUSTUS,gene,100725352,100756448,0.01,+,.,g3048
ptg000757l,GeneMark.hmm3,gene,159946,160644,.,+,.,gene_id file_2_35020_g; transcript_id file_2_35020_t;
3_RagTag,AUGUSTUS,gene,30785242,30822632,0.19,-,.,g19208
2_RagTag,AUGUSTUS,gene,72950966,72957627,0.69,+,.,g9991
3_RagTag,AUGUSTUS,gene,367266602,367281525,0.01,-,.,g27057
2_RagTag,AUGUSTUS,gene,230456164,230475026,0.28,+,.,g13299
2_RagTag,AUGUSTUS,gene,147582392,147629620,0.02,+,.,g11727
3_RagTag,AUGUSTUS,gene,131157450,131157881,0.13,+,.,g21662
3_RagTag,AUGUSTUS,gene,255968379,255974107,0.14,-,.,g24202
2_RagTag,AUGUSTUS,gene,444014252,444015814,0.76,-,.,g18190
2_RagTag,AUGUSTUS,gene,86408870,86428602,0.41,-,.,g10335
1_RagTag,AUGUSTUS,gene,1003152,1019456,0.04,+,.,g37
2_RagTag,AUGUSTUS,gene,353266583,353267416,0.32,-,.,g15935
3_RagTag,AUGUSTUS,gene,129362888,129365862,0.01,+,.,g21633
3_RagTag,AUGUSTUS,gene,27369756,27381039,0.13,-,.,g19105
2_RagTag,AUGUSTUS,gene,147650964,147680929,0.67,-,.,g11728
2_RagTag,AUGUSTUS,gene,205268307,205268925,1,-,.,g12905
2_RagTag,AUGUSTUS,gene,170882741,170885259,0.12,-,.,g12162
3_RagTag,AUGUSTUS,gene,287915138,287930468,0.22,-,.,g25033
1_RagTag,AUGUSTUS,gene,311698988,311710789,0.26,+,.,g7949
2_RagTag,AUGUSTUS,gene,439031963,439032531,0.64,+,.,g18062
1_RagTag,GeneMark.hmm3,gene,181548381,181550327,.,-,.,gene_id file_2_5716_g; transcript_id file_2_5716_t;
3_RagTag,AUGUSTUS,gene,124933169,124938194,0.21,-,.,g21540
3_RagTag,AUGUSTUS,gene,270179700,270194293,0.42,+,.,g24556
ptg000638l,AUGUSTUS,gene,130363,163352,0.04,-,.,g27904
3_RagTag,AUGUSTUS,gene,75707840,75725745,0.11,-,.,g20343
1_RagTag,AUGUSTUS,gene,20647631,20650309,0.04,-,.,g762
1_RagTag,AUGUSTUS,gene,180765460,180766517,0.03,-,.,g4469
1_RagTag,AUGUSTUS,gene,196463859,196557521,0.13,-,.,g4828
2_RagTag,AUGUSTUS,gene,359559996,359584393,0.01,+,.,g16069
3_RagTag,AUGUSTUS,gene,177786915,177787534,0.06,+,.,g22659
3_RagTag,AUGUSTUS,gene,271904923,271966527,0.01,+,.,g24594
2_RagTag,AUGUSTUS,gene,105301586,105328945,0.02,+,.,g10869
2_RagTag,AUGUSTUS,gene,29632337,29632702,0.42,-,.,g8875
1_RagTag,AUGUSTUS,gene,11487505,11514954,0,-,.,g382
1_RagTag,AUGUSTUS,gene,230867477,230868454,0.95,+,.,g5901
3_RagTag,AUGUSTUS,gene,103716081,103725878,0.35,-,.,g21040
1_RagTag,AUGUSTUS,gene,169306231,169324901,0.24,+,.,g4293
2_RagTag,AUGUSTUS,gene,54995568,55009305,0.07,+,.,g9562
2_RagTag,AUGUSTUS,gene,112694571,112701556,0.01,+,.,g11078
1_RagTag,AUGUSTUS,gene,208261536,208268865,0.01,-,.,g5100
1_RagTag,AUGUSTUS,gene,81604041,81611320,0.19,-,.,g2616
3_RagTag,AUGUSTUS,gene,234278119,234282821,0.04,-,.,g23782
1_RagTag,GeneMark.hmm3,gene,260131261,260138070,.,+,.,gene_id file_2_8314_g; transcript_id file_2_8314_t;
1_RagTag,AUGUSTUS,gene,124719612,124732453,0.03,+,.,g3483
3_RagTag,GeneMark.hmm3,gene,352229511,352236647,.,+,.,gene_id file_2_33346_g; transcript_id file_2_33346_t;
2_RagTag,AUGUSTUS,gene,122872802,122877641,0.03,+,.,g11261
3_RagTag,AUGUSTUS,gene,170565382,170570897,0.03,+,.,g22507
1_RagTag,AUGUSTUS,gene,41149243,41149832,0.23,+,.,g1395
3_RagTag,AUGUSTUS,gene,337738608,337797770,0.02,+,.,g26238
2_RagTag,AUGUSTUS,gene,296580253,296626676,0.15,-,.,g14601
2_RagTag,AUGUSTUS,gene,365438151,365455686,0.27,+,.,g16201
2_RagTag,AUGUSTUS,gene,75461709,75475515,0.14,-,.,g10068
2_RagTag,AUGUSTUS,gene,163631559,163638241,0.07,-,.,g12019
1_RagTag,AUGUSTUS,gene,259802079,259851766,0.03,+,.,g6525
3_RagTag,AUGUSTUS,gene,191108294,191113411,0.32,-,.,g22947
3_RagTag,AUGUSTUS,gene,15992123,16008175,0.02,+,.,g18749
1_RagTag,AUGUSTUS,gene,261970010,261979650,0.41,-,.,g6563
ptg001094l,GeneMark.hmm3,gene,7008,13925,.,-,.,gene_id file_2_35357_g; transcript_id file_2_35357_t;
3_RagTag,AUGUSTUS,gene,319293780,319294748,0.53,+,.,g25781
2_RagTag,AUGUSTUS,gene,96197978,96200049,0.57,+,.,g10627
3_RagTag,AUGUSTUS,gene,324261530,324276282,0.02,-,.,g25918
2_RagTag,AUGUSTUS,gene,413072022,413072479,0.76,+,.,g17329
1_RagTag,AUGUSTUS,gene,171402009,171405566,0.04,+,.,g4325
1_RagTag,AUGUSTUS,gene,90576933,90577816,0.97,-,.,g2830
2_RagTag,AUGUSTUS,gene,336027991,336043400,0.03,+,.,g15523
3_RagTag,AUGUSTUS,gene,371228410,371230887,0.37,+,.,g27144
3_RagTag,AUGUSTUS,gene,128564646,128588885,0.07,+,.,g21618
2_RagTag,AUGUSTUS,gene,109020331,109021242,0.77,-,.,g10984
2_RagTag,AUGUSTUS,gene,99264280,99270436,0.45,-,.,g10721
1_RagTag,AUGUSTUS,gene,37817151,37832083,0.16,-,.,g1310
2_RagTag,AUGUSTUS,gene,133621414,133622177,0.99,+,.,g11447
2_RagTag,GeneMark.hmm3,gene,372733759,372742319,.,+,.,gene_id file_2_20641_g; transcript_id file_2_20641_t;
3_RagTag,AUGUSTUS,gene,290097172,290098779,0.92,-,.,g25109
2_RagTag,AUGUSTUS,gene,192424926,192436096,0.19,-,.,g12650
2_RagTag,AUGUSTUS,gene,34218090,34220993,0.02,+,.,g9006
3_RagTag,AUGUSTUS,gene,301928345,301929964,0.11,+,.,g25353
3_RagTag,AUGUSTUS,gene,312842198,312875804,0.21,-,.,g25622
1_RagTag,AUGUSTUS,gene,135340928,135370012,0.03,+,.,g3657
1_RagTag,GeneMark.hmm3,gene,247408797,247419229,.,-,.,gene_id file_2_7970_g; transcript_id file_2_7970_t;
1_RagTag,AUGUSTUS,gene,258670572,258671439,0.13,-,.,g6501
2_RagTag,AUGUSTUS,gene,2039908,2040717,0.95,-,.,g8113
1_RagTag,AUGUSTUS,gene,101615065,101615367,0.32,+,.,g3066
2_RagTag,AUGUSTUS,gene,259498378,259514360,0.13,+,.,g13858
3_RagTag,GeneMark.hmm3,gene,145271845,145277729,.,-,.,gene_id file_2_27606_g; transcript_id file_2_27606_t;
3_RagTag,AUGUSTUS,gene,327839203,327840405,0.28,+,.,g26005
3_RagTag,AUGUSTUS,gene,340115992,340125352,0.03,+,.,g26278
2_RagTag,AUGUSTUS,gene,183670971,183671966,0.22,+,.,g12463
2_RagTag,AUGUSTUS,gene,87168972,87217699,0.01,+,.,g10349
2_RagTag,AUGUSTUS,gene,42146901,42172488,0.06,+,.,g9182
2_RagTag,AUGUSTUS,gene,106969774,106970790,0.84,+,.,g10922
2_RagTag,AUGUSTUS,gene,311601318,311602235,0.19,+,.,g14913
3_RagTag,AUGUSTUS,gene,147000906,147001351,0.65,+,.,g22021
1_RagTag,AUGUSTUS,gene,4090563,4092241,0.1,+,.,g146
2_RagTag,AUGUSTUS,gene,237396697,237399458,0.08,-,.,g13449
2_RagTag,AUGUSTUS,gene,437450195,437451129,0.52,-,.,g18037
1_RagTag,AUGUSTUS,gene,217605515,217607128,0.86,+,.,g5414
2_RagTag,AUGUSTUS,gene,62439625,62440207,0.51,+,.,g9756
3_RagTag,GeneMark.hmm3,gene,191854924,191864149,.,-,.,gene_id file_2_28840_g; transcript_id file_2_28840_t;
2_RagTag,GeneMark.hmm3,gene,33902753,33905850,.,+,.,gene_id file_2_11373_g; transcript_id file_2_11373_t;
3_RagTag,AUGUSTUS,gene,275028114,275029192,0.46,-,.,g24684
ptg000598l,AUGUSTUS,gene,320037,321959,0.55,+,.,g27845
2_RagTag,GeneMark.hmm3,gene,320534983,320535719,.,-,.,gene_id file_2_19192_g; transcript_id file_2_19192_t;
2_RagTag,AUGUSTUS,gene,119041795,119069691,0,+,.,g11194
3_RagTag,AUGUSTUS,gene,169087753,169097713,0.07,-,.,g22467
ptg001024l,AUGUSTUS,gene,14795,25353,0.1,-,.,g28261
1_RagTag,AUGUSTUS,gene,255970483,255984262,0.01,+,.,g6434
2_RagTag,AUGUSTUS,gene,6055769,6077444,0.32,+,.,g8214
2_RagTag,AUGUSTUS,gene,279591398,279592388,0.69,-,.,g14257
3_RagTag,AUGUSTUS,gene,86387320,86430906,0.01,+,.,g20606
3_RagTag,AUGUSTUS,gene,288349123,288362846,0.01,-,.,g25060
2_RagTag,AUGUSTUS,gene,356440983,356459010,0.02,-,.,g16015
3_RagTag,AUGUSTUS,gene,308999238,309004159,0.29,+,.,g25523
3_RagTag,AUGUSTUS,gene,291705963,291709782,0.07,+,.,g25152
2_RagTag,AUGUSTUS,gene,107485039,107485785,0.45,-,.,g10948
3_RagTag,AUGUSTUS,gene,188032114,188036718,0.37,+,.,g22885
3_RagTag,AUGUSTUS,gene,360189790,360190190,0.19,+,.,g26847
3_RagTag,AUGUSTUS,gene,359320048,359339992,0.02,-,.,g26826
3_RagTag,AUGUSTUS,gene,29358028,29358780,0.05,+,.,g19159
3_RagTag,AUGUSTUS,gene,20160926,20167859,0.02,+,.,g18862
2_RagTag,AUGUSTUS,gene,272926128,272927021,0.11,+,.,g14109
3_RagTag,AUGUSTUS,gene,240066150,240067396,0.11,-,.,g23885
3_RagTag,AUGUSTUS,gene,319154605,319156570,0.33,+,.,g25776
2_RagTag,AUGUSTUS,gene,10421932,10450311,0.5,+,.,g8326
1_RagTag,AUGUSTUS,gene,291838764,291840308,0.14,+,.,g7280
2_RagTag,AUGUSTUS,gene,318100834,318103462,0.29,+,.,g15072
1_RagTag,AUGUSTUS,gene,21792177,21809786,0.01,+,.,g795
2_RagTag,AUGUSTUS,gene,95441900,95459820,0.03,+,.,g10599
2_RagTag,AUGUSTUS,gene,20718196,20742388,0.02,-,.,g8567
3_RagTag,AUGUSTUS,gene,5459314,5466279,0.47,-,.,g18384
2_RagTag,AUGUSTUS,gene,35835691,35839440,0.01,+,.,g9045
3_RagTag,AUGUSTUS,gene,214582267,214587478,0.43,+,.,g23350
1_RagTag,AUGUSTUS,gene,141292736,141300165,0.25,-,.,g3801
2_RagTag,AUGUSTUS,gene,107302956,107339622,0.01,-,.,g10943
3_RagTag,AUGUSTUS,gene,8219512,8233719,0.07,+,.,g18450
3_RagTag,AUGUSTUS,gene,269412171,269413500,0.27,+,.,g24527
2_RagTag,AUGUSTUS,gene,137986898,137991010,0.04,+,.,g11530
2_RagTag,AUGUSTUS,gene,187995320,188012591,0.04,-,.,g12552
1_RagTag,AUGUSTUS,gene,104689263,104692515,0.27,-,.,g3126
3_RagTag,AUGUSTUS,gene,220073843,220081473,0.01,+,.,g23467
1_RagTag,AUGUSTUS,gene,34383137,34389390,0.33,+,.,g1216
3_RagTag,AUGUSTUS,gene,11317073,11318571,0.7,-,.,g18575
2_RagTag,AUGUSTUS,gene,361941332,361942850,0.77,+,.,g16110
1_RagTag,AUGUSTUS,gene,8065051,8077563,0.07,-,.,g256
2_RagTag,AUGUSTUS,gene,45959101,45991166,0.76,+,.,g9288
1_RagTag,AUGUSTUS,gene,96320229,96410467,0.02,-,.,g2955
3_RagTag,AUGUSTUS,gene,2602984,2636489,0.05,+,.,g18275
2_RagTag,AUGUSTUS,gene,343693547,343696094,0.75,-,.,g15697
2_RagTag,AUGUSTUS,gene,331575256,331576523,0.02,+,.,g15411
1_RagTag,AUGUSTUS,gene,284728646,284766930,0.14,+,.,g7093
2_RagTag,AUGUSTUS,gene,226625617,226626618,0.57,+,.,g13233
3_RagTag,AUGUSTUS,gene,85122068,85140056,0.01,+,.,g20558
3_RagTag,AUGUSTUS,gene,25564220,25566103,0.47,-,.,g19039
ptg000067l,AUGUSTUS,gene,25896,38272,0.01,-,.,g27327
1_RagTag,AUGUSTUS,gene,26581012,26582559,0.21,+,.,g970
1_RagTag,AUGUSTUS,gene,8119872,8135597,0.26,-,.,g258
1_RagTag,AUGUSTUS,gene,202992227,203002316,0.37,-,.,g4969
1_RagTag,AUGUSTUS,gene,137231356,137233167,0.85,-,.,g3697
1_RagTag,AUGUSTUS,gene,290851773,290852448,0.64,-,.,g7260
3_RagTag,AUGUSTUS,gene,29239593,29243329,0.14,+,.,g19152
2_RagTag,AUGUSTUS,gene,4058767,4059657,0.99,+,.,g8180
2_RagTag,AUGUSTUS,gene,306747117,306747990,0.66,-,.,g14816
2_RagTag,AUGUSTUS,gene,237708938,237712331,0.17,+,.,g13460
3_RagTag,AUGUSTUS,gene,65068403,65069605,0.31,+,.,g20070
3_RagTag,AUGUSTUS,gene,78580072,78582851,0.44,-,.,g20409
3_RagTag,AUGUSTUS,gene,71890922,71964943,0.23,+,.,g20251
3_RagTag,AUGUSTUS,gene,370125161,370125595,0.69,-,.,g27118
ptg000794l,AUGUSTUS,gene,30595,31417,0.34,-,.,g28038
1_RagTag,AUGUSTUS,gene,253144445,253152356,0.35,-,.,g6374
2_RagTag,AUGUSTUS,gene,135032119,135061616,0.01,+,.,g11476
3_RagTag,AUGUSTUS,gene,273756697,273772963,0.72,+,.,g24640
3_RagTag,AUGUSTUS,gene,303676671,303678212,0.72,+,.,g25403
3_RagTag,AUGUSTUS,gene,110492341,110502252,0.01,-,.,g21190
1_RagTag,AUGUSTUS,gene,260769331,260776126,0.12,-,.,g6548
2_RagTag,AUGUSTUS,gene,366966722,366968283,0.28,-,.,g16239
1_RagTag,AUGUSTUS,gene,157462720,157463802,1,+,.,g4136
3_RagTag,AUGUSTUS,gene,85722860,85725004,0.78,-,.,g20584
2_RagTag,AUGUSTUS,gene,97286503,97287741,0.86,-,.,g10673
1_RagTag,AUGUSTUS,gene,266653093,266653782,0.79,-,.,g6654
3_RagTag,AUGUSTUS,gene,326280491,326349934,0.05,+,.,g25970
2_RagTag,AUGUSTUS,gene,431502105,431514385,0.1,-,.,g17881
